status,priority,reportdate,statusdate,customer
CAN,3,03/02/2023 12:11,03/02/2023 13:01,Stena
CAN,3,28/06/2023 14:51,29/06/2023 13:04,AGC
CAN,4,27/10/2023 13:10,31/10/2023 18:27,AGC
CLOSED,4,13/05/2022 11:40,25/08/2022 13:58,BioEnergy
CLOSED,3,13/06/2022 08:22,26/08/2022 12:58,BioEnergy
CLOSED,3,27/06/2022 13:36,30/07/2022 17:54,MODEC
CLOSED,3,04/07/2022 14:39,23/09/2022 16:02,BioEnergy
CLOSED,4,05/07/2022 14:12,19/09/2022 13:01,PX
CLOSED,3,22/07/2022 08:30,25/08/2022 13:58,BioEnergy
CLOSED,3,26/07/2022 12:29,29/08/2022 13:58,WellSafe
CLOSED,3,28/07/2022 14:23,12/09/2022 18:00,BioEnergy
CLOSED,3,10/08/2022 10:20,23/09/2022 13:01,BioEnergy
CLOSED,3,18/08/2022 16:19,22/09/2022 14:01,Stena
CLOSED,3,22/08/2022 05:57,23/09/2022 13:01,Stena
CLOSED,4,23/08/2022 14:22,07/10/2022 16:03,BioEnergy
CLOSED,3,05/09/2022 08:22,08/10/2022 16:03,BioEnergy
CLOSED,3,07/09/2022 11:28,29/03/2023 13:31,Stena
CLOSED,3,10/09/2022 14:33,13/10/2022 11:04,Stena
CLOSED,3,12/09/2022 09:13,30/10/2022 14:06,Stena
CLOSED,4,22/09/2022 12:14,23/10/2022 17:05,BioEnergy
CLOSED,4,22/09/2022 12:18,23/10/2022 17:05,BioEnergy
CLOSED,3,28/09/2022 08:22,30/10/2022 17:06,BioEnergy
CLOSED,3,29/09/2022 21:54,06/01/2023 11:15,Rolls-Royce
CLOSED,4,04/10/2022 15:18,06/11/2022 13:07,Stena
CLOSED,2,05/10/2022 15:08,30/03/2023 12:31,MODEC
CLOSED,3,07/10/2022 09:41,12/11/2022 12:08,BioEnergy
CLOSED,3,07/10/2022 09:44,26/11/2022 15:10,BioEnergy
CLOSED,3,07/10/2022 14:23,26/11/2022 15:10,BioEnergy
CLOSED,3,18/10/2022 10:58,30/03/2023 11:31,BioEnergy
CLOSED,2,09/11/2022 13:44,01/05/2023 13:34,WellSafe
CLOSED,3,18/11/2022 08:13,07/01/2023 12:15,BioEnergy
CLOSED,3,02/12/2022 08:37,09/01/2023 06:15,AGC
CLOSED,3,05/12/2022 11:02,08/01/2023 15:15,AGC
CLOSED,4,06/12/2022 10:33,29/03/2023 13:31,Stena
CLOSED,3,07/12/2022 09:01,29/03/2023 13:31,AGC
CLOSED,3,15/12/2022 12:55,29/03/2023 13:31,BioEnergy
CLOSED,2,19/12/2022 10:34,22/04/2023 14:33,WellSafe
CLOSED,4,19/12/2022 11:29,29/03/2023 13:31,MODEC
CLOSED,4,20/12/2022 16:34,29/03/2023 13:31,BioEnergy
CLOSED,3,09/01/2023 10:29,29/03/2023 13:31,WellSafe
CLOSED,3,10/01/2023 08:58,10/01/2023 13:01,Stena
CLOSED,3,10/01/2023 13:58,29/03/2023 13:31,Stena
CLOSED,3,12/01/2023 13:06,06/04/2023 17:31,Stena
CLOSED,3,13/01/2023 10:05,29/03/2023 13:31,Stena
CLOSED,3,18/01/2023 08:39,29/03/2023 13:31,BioEnergy
CLOSED,3,19/01/2023 14:41,02/04/2023 13:31,AGC
CLOSED,4,24/01/2023 10:33,24/03/2023 15:30,Stena
CLOSED,4,24/01/2023 14:05,29/03/2023 13:31,EnQuest
CLOSED,3,25/01/2023 12:51,24/03/2023 15:30,Stena
CLOSED,4,31/01/2023 10:42,24/03/2023 15:30,EnQuest
CLOSED,3,31/01/2023 16:42,16/04/2023 14:32,BioEnergy
CLOSED,4,31/01/2023 16:51,24/03/2023 15:30,EnQuest
CLOSED,4,01/02/2023 12:47,24/03/2023 15:30,EnQuest
CLOSED,4,01/02/2023 12:50,24/03/2023 15:30,EnQuest
CLOSED,4,01/02/2023 14:56,24/03/2023 15:30,EnQuest
CLOSED,4,02/02/2023 11:28,24/03/2023 15:30,EnQuest
CLOSED,4,02/02/2023 12:51,24/03/2023 15:30,EnQuest
CLOSED,4,03/02/2023 11:26,24/03/2023 15:30,EnQuest
CLOSED,3,03/02/2023 11:38,24/03/2023 15:30,Stena
CLOSED,4,06/02/2023 12:42,24/03/2023 14:30,EnQuest
CLOSED,4,06/02/2023 15:15,24/03/2023 14:30,EnQuest
CLOSED,4,07/02/2023 11:06,27/03/2023 16:30,EnQuest
CLOSED,4,08/02/2023 12:07,24/03/2023 14:30,EnQuest
CLOSED,4,08/02/2023 12:40,24/03/2023 14:30,EnQuest
CLOSED,4,10/02/2023 07:53,27/03/2023 11:30,Stena
CLOSED,3,16/02/2023 15:36,16/04/2023 14:32,BioEnergy
CLOSED,3,21/02/2023 09:08,02/04/2023 13:31,Stena
CLOSED,3,22/02/2023 12:01,01/04/2023 12:31,AGC
CLOSED,3,27/02/2023 15:27,08/04/2023 13:31,WellSafe
CLOSED,3,03/03/2023 13:09,05/05/2023 15:34,BioEnergy
CLOSED,3,03/03/2023 13:14,05/05/2023 15:34,BioEnergy
CLOSED,3,06/03/2023 09:28,05/05/2023 15:34,BioEnergy
CLOSED,4,07/03/2023 11:53,14/04/2023 14:32,AGC
CLOSED,3,08/03/2023 12:29,28/04/2023 15:33,BioEnergy
CLOSED,3,16/03/2023 11:05,21/04/2023 17:33,WellSafe
CLOSED,3,22/03/2023 16:38,04/09/2023 01:00,PX
CLOSED,3,23/03/2023 09:49,04/06/2023 17:48,Belfast-Harbour
CLOSED,4,24/03/2023 11:08,24/04/2023 17:33,AGC
CLOSED,4,27/03/2023 13:52,13/05/2023 19:35,BioEnergy
